run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
122,357.9153183561706,377.9000161689638,399.9105902452087,5000,42
123,357.90918804473876,377.89844224367255,399.9093753884888,5000,42
124,357.9046669224548,377.89720587197564,399.9127891975403,5000,42
125,357.89662310729983,377.89865892070236,399.9170915899659,5000,42
126,357.8941009529114,377.9009876316135,399.9286658653259,5000,42
127,357.8863148440552,377.901322613717,399.9406847140503,5000,42
128,357.87937667816163,377.90344939045906,399.95547659805294,5000,42
129,357.87715591552734,377.901415013749,399.9571154260254,5000,42
130,357.87601282943723,377.90322228773914,399.9634040086364,5000,42
131,357.86630496673587,377.9028117534611,399.9678942184448,5000,42
132,357.8638584762573,377.9018472823624,399.98468557739255,5000,42
133,357.85287364624025,377.89957104900657,399.99026426086425,5000,42
134,357.8493985594177,377.90067005319145,399.9926853656006,5000,42
135,357.8481456585693,377.9002644113952,399.99716150360115,5000,42
136,357.8448136795044,377.90058185644654,399.9960771911621,5000,42
137,357.8423960388184,377.899734289372,400.0007215722656,5000,42
138,357.83671717926023,377.8991219895961,400.00357587524417,5000,42
139,357.8342157550049,377.8990477812188,400.001661965332,5000,42
140,357.82579303375246,377.8986782846932,400.0113052427674,5000,42
141,357.8180681732178,377.8994949309656,400.01722059631345,5000,42
142,357.8102752819824,377.8983136068431,400.02092561798094,5000,42
143,357.81138214080806,377.8993874741769,400.0302616247559,5000,42
144,357.81219741912844,377.8992174268511,400.02725569381715,5000,42
145,357.8147119482422,377.9012449039861,400.0350538854981,5000,42
146,357.80789745254515,377.9009088734659,400.04332760391236,5000,42
147,357.80483884735105,377.90183222170424,400.04998400756836,5000,42
148,357.80330734817505,377.9028694773907,400.0526307937622,5000,42
149,357.80443260864257,377.9034636848192,400.06212187927247,5000,42
150,357.80171918045045,377.9046209368481,400.0651627320862,5000,42
151,357.7986795349121,377.90491514698465,400.06585014801027,5000,42
152,357.796906191864,377.90408902138154,400.06572947280887,5000,42
153,357.8024132580566,377.90464497644615,400.07093803222654,5000,42
154,357.80382168106075,377.90374713911524,400.0712472854614,5000,42
155,357.8045675775146,377.90407227279314,400.06730644866946,5000,42
156,357.80299769592284,377.9039605641283,400.0684432952881,5000,42
157,357.8022724530029,377.90394771359064,400.07020330871586,5000,42
158,357.80026682434084,377.90325868696243,400.0696402220154,5000,42
159,357.8043513302612,377.90415153063935,400.06882035064694,5000,42
160,357.80467544967655,377.90438229640955,400.07526596923833,5000,42
161,357.8095717163086,377.905201119598,400.076624206543,5000,42
162,357.8025050906372,377.9036652396494,400.08323458877567,5000,42
163,357.8001694924926,377.9044128722399,400.0916267776489,5000,42
164,357.79857531341554,377.9049751970985,400.10495109146115,5000,42
165,357.7935219946289,377.90508090997884,400.10248069152834,5000,42
166,357.7853509361267,377.90443866808704,400.10636511688233,5000,42
167,357.77969821807864,377.9045519758582,400.106566800232,5000,42
168,357.77902528091425,377.9053522187371,400.10841192535406,5000,42
169,357.7740381481933,377.9034500178773,400.11024578125,5000,42
170,357.77092644851683,377.90468599304285,400.11600559844976,5000,42
171,357.77021580352783,377.9054485113488,400.12114520721434,5000,42
172,357.7654413252258,377.90589650169187,400.12634802062985,5000,42
173,357.7597586846924,377.90739717456677,400.1336870336914,5000,42
174,357.7557289489746,377.9084677094207,400.14236859298705,5000,42
175,357.74913862854004,377.9086263240441,400.14623675079343,5000,42
176,357.7461293830872,377.9077316725647,400.1527340934753,5000,42
177,357.74237398193355,377.9086941253847,400.15756354492186,5000,42
178,357.73784930053705,377.9080020647727,400.15902690338135,5000,42
179,357.7317675286865,377.90677803729926,400.1625774526978,5000,42
180,357.7327956231689,377.90751279334205,400.1686482908631,5000,42
181,357.73257423706053,377.9079082897223,400.1747497619629,5000,42
182,357.73135145614623,377.90848689987655,400.1839250929261,5000,42
183,357.7314324893189,377.90985855559495,400.18840877777103,5000,42
184,357.7306555381775,377.9105733356971,400.19154262176517,5000,42
185,357.72931781372074,377.91020473702054,400.1951619128418,5000,42
186,357.7293357810974,377.9111416218754,400.19756799926756,5000,42
187,357.72750228637693,377.91117669795284,400.2021426638794,5000,42
188,357.7274501086426,377.90981861364395,400.20452534683227,5000,42
189,357.72510991882325,377.90900898059704,400.2044396697998,5000,42
190,357.7270948135376,377.9095256989817,400.20319962402345,5000,42
191,357.72683465423586,377.910354477296,400.20507041320803,5000,42
192,357.7267830722046,377.91048368037497,400.2063866732788,5000,42
193,357.72825946289066,377.9107078242321,400.2059912036133,5000,42
194,357.7314764094544,377.91173209681557,400.210326738739,5000,42
